Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Naso_lituratus,21.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,16.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,20,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,18,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,23.4,Fishery,2014,1,0,0,0,0
Naso_lituratus,25,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.4,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.4,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,23.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,24.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,19,Fishery,2014,1,0,0,0,0
Naso_lituratus,13.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,15.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,18,Fishery,2014,1,0,0,0,0
Naso_lituratus,16.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,23.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,14.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,22.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,15.4,Fishery,2014,1,0,0,0,0
Naso_lituratus,22.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,15.4,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,12.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,15.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,22.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,25.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,16.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,16,Fishery,2014,1,0,0,0,0
Naso_lituratus,15,Fishery,2014,1,0,0,0,0
Naso_lituratus,14.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,14.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,11.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,11.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,11.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,12.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,12.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,13.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,16.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,18,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,21,Fishery,2014,1,0,0,0,0
